PlayerID,Pitcher,FullName,CleanName
4417826,L. Knack,LandonKnack,landonknack
41776,B. Sousa,BennettSousa,bennettsousa
35949,C. Lawrence,CaseyLawrence,caseylawrence
42449,Q. Priester,QuinnPriester,quinnpriester
5002931,S. Cruz,StevenCruz,stevencruz
40761,Z. Thompson,ZachThompson,zachthompson
40944,E. Cabrera,EdwardCabrera,edwardcabrera
5137265,M. Darrell-Hicks,MichaelDarrell-Hicks,michaeldarrell-hicks
5136495,L. VanWey,LoganVanWey,loganvanwey
5124114,D. Festa,DavidFesta,davidfesta
32106,J. Quintana,JoseQuintana,josequintana
41849,J. Alexander,JasonAlexander,jasonalexander
4348166,K. Funderburk,KodyFunderburk,kodyfunderburk
5116856,R. Munoz,RodderyMunoz,rodderymunoz
4414002,J.T. Ginn,J.T.Ginn,j.t.ginn
37825,C. Sulser,ColeSulser,colesulser
39822,J. Tinoco,JesusTinoco,jesustinoco
4415762,K. Nicolas,KyleNicolas,kylenicolas
4414528,A. Abbott,AndrewAbbott,andrewabbott
30791,M. Rojas,MiguelRojas,miguelrojas
41975,C. Boushley,CalebBoushley,calebboushley
41824,M. Petersen,MichaelPetersen,michaelpetersen
4298087,J. Boyle,JoeBoyle,joeboyle
4414361,C. Henry,ColeHenry,colehenry
34842,M. Fulmer,MichaelFulmer,michaelfulmer
4299966,E. Orze,EricOrze,ericorze
4346117,C. Legumina,CaseyLegumina,caseylegumina
4905920,A. Diaz,AlexisDiaz,alexisdiaz
3994084,E. Sisk,EvanSisk,evansisk
4875225,D. Palencia,DanielPalencia,danielpalencia
4307825,S. Strider,SpencerStrider,spencerstrider
5182933,K. Montero,KeiderMontero,keidermontero
4991251,J. Hagenman,JustinHagenman,justinhagenman
4683355,L. Little,LukeLittle,lukelittle
5131856,T. Taylor,TroyTaylor,troytaylor
41085,C. Schmidt,ClarkeSchmidt,clarkeschmidt
4326703,B. Miller,BobbyMiller,bobbymiller
41828,S. Wilson,StevenWilson,stevenwilson
4649953,M. Svanson,MattSvanson,mattsvanson
4420749,J. Wicks,JordanWicks,jordanwicks
42239,J. Lopez,JacobLopez,jacoblopez
4721043,P. Monteverde,PatrickMonteverde,patrickmonteverde
4722925,J. Morillo,JuanMorillo,juanmorillo
36011,J.P. Feyereisen,J.P.Feyereisen,j.p.feyereisen
4414339,B. Young,BrandonYoung,brandonyoung
37911,E. Phillips,EvanPhillips,evanphillips
4623366,J. Shuster,JaredShuster,jaredshuster
35997,B. Stewart,BrockStewart,brockstewart
31755,L. Hendriks,LiamHendriks,liamhendriks
4991600,R. Wynne,RandallWynne,randallwynne
4728692,C. Poteet,CodyPoteet,codypoteet
33832,J. Mateo,JorgeMateo,jorgemateo
31095,G. Sanchez,GarySanchez,garysanchez
5273591,C. Gibson,CadeGibson,cadegibson
4313208,P. Schultz,PaxtonSchultz,paxtonschultz
34950,D. Tate,DillonTate,dillontate
4917878,L. Henderson,LoganHenderson,loganhenderson
4415753,D. Jameson,DreyJameson,dreyjameson
5207459,Z. Agnos,ZachAgnos,zachagnos
4917841,J. Walker,JoshWalker,joshwalker
40915,F. Whitley,ForrestWhitley,forrestwhitley
4417465,C. Yoho,CraigYoho,craigyoho
4414247,B. Horn,BaileyHorn,baileyhorn
4414112,C. Lee,ChaseLee,chaselee
5200390,S. Lao,SaurynLao,saurynlao
4720856,B. Bello,BrayanBello,brayanbello
5196434,N. Wiles,NathanWiles,nathanwiles
4414362,J. Hill,JadenHill,jadenhill
4019957,N. Davis,NoahDavis,noahdavis
4208302,G. Hollowell,GavinHollowell,gavinhollowell
4109031,C. Koss,ChristianKoss,christiankoss
5014989,Z. Kent,ZakKent,zakkent
33202,C. Edwards Jr.,CarlEdwards Jr.,carledwardsjr.
3210625,J. Latz,JacobLatz,jacoblatz
5132025,L. Guerrero,LuisGuerrero,luisguerrero
39716,T. Myers,TobiasMyers,tobiasmyers
5185107,J. Mejia,JuanMejia,juanmejia
4418343,G. Holman,GrantHolman,grantholman
31010,D. Pomeranz,DrewPomeranz,drewpomeranz
5127102,V. Mederos,VictorMederos,victormederos
5217798,Y. Diaz,YilberDiaz,yilberdiaz
5265417,J. Fermin,JoseFermin,josefermin
41509,R. O'Brien,RileyO'Brien,rileyo'brien
4414160,D. Nikhazy,DougNikhazy,dougnikhazy
34980,K. Allard,KolbyAllard,kolbyallard
3961066,G. Wolfram,GrantWolfram,grantwolfram
3896017,S. Guenther,SeanGuenther,seanguenther
5196249,R. Bergert,RyanBergert,ryanbergert
4717834,Y. De los Santos,YerryDe los Santos,yerrydelossantos
31264,T. Matzek,TylerMatzek,tylermatzek
4297994,J. Eder,JakeEder,jakeeder
32168,A. Hedges,AustinHedges,austinhedges
41344,J. Bowlan,JonathanBowlan,jonathanbowlan
41333,L. Richardson,LyonRichardson,lyonrichardson
4081461,D. Daniel,DavisDaniel,davisdaniel
5202474,L. Evans,LoganEvans,loganevans
33107,J. Urena,JoseUrena,joseurena
33215,A. Rosario,AmedRosario,amedrosario
41407,C. Bolton,CodyBolton,codybolton
42375,W. Wilson,WillWilson,willwilson
42639,K. Ort,KalebOrt,kalebort
31053,K. Gibson,KyleGibson,kylegibson
4990459,T. Cosgrove,TomCosgrove,tomcosgrove
4987652,H. Stratton,HunterStratton,hunterstratton
38314,K. Herget,KevinHerget,kevinherget
36080,D. Dunning,DaneDunning,danedunning
31358,E. Hernández,EnriqueHernandez,enriquehernandez
42556,A. Blubaugh,AJBlubaugh,ajblubaugh
38958,T. Gonsolin,TonyGonsolin,tonygonsolin
4872687,C. Petty,ChasePetty,chasepetty
4417208,N. Cameron,NoahCameron,noahcameron
32697,L. Giolito,LucasGiolito,lucasgiolito
39915,E. Lauer,EricLauer,ericlauer
41432,K. Ginkel,KevinGinkel,kevinginkel
41351,B. Waddell,BrandonWaddell,brandonwaddell
32511,C. Devenski,ChrisDevenski,chrisdevenski
4722939,L. Mey,LuisMey,luismey
41061,G. Cabrera,GenesisCabrera,genesiscabrera
5137056,T. Adcock,TyAdcock,tyadcock
5203596,T. Owens,TylerOwens,tylerowens
38706,J. Castillo,JoseCastillo,josecastillo
35277,T. Clarke,TaylorClarke,taylorclarke
39871,M. Festa,MattFesta,mattfesta
4414154,G. Hoglund,GunnarHoglund,gunnarhoglund
31173,T. Barnhart,TuckerBarnhart,tuckerbarnhart
