Game Date,Away Team,Home Team,Away Record,Home Record,Away Score,Home Score,Winning Pitcher,Winning IP,Winning H,Winning ER,Winning K,Winning BB,Losing Pitcher,Losing IP,Losing H,Losing ER,Losing K,Losing BB
2025-04-21,San Diego Padres,Detroit Tigers,16-7,14-9,4,6,B. Hanifee,2.0,1,0,2,0,R. Vasquez,2.0,5,6,1,3
2025-04-21,Philadelphia Phillies,New York Mets,13-10,16-7,4,5,T. Megill,5.1,1,0,10,4,A. Nola,6.1,7,4,6,2
2025-04-21,St. Louis Cardinals,Atlanta Braves,9-14,9-13,6,7,D. Hernandez,1.0,0,0,0,1,P. Maton,0.1,2,4,1,2
2025-04-21,Toronto Blue Jays,Houston Astros,12-11,11-11,0,7,H. Brown,7.0,2,0,9,1,K. Gausman,6.0,6,4,6,3
2025-04-21,Milwaukee Brewers,San Francisco Giants,12-11,15-8,2,5,H. Birdsong,3.0,1,0,4,2,G. Anderson,1.0,1,1,2,0
2025-04-22,New York Yankees,Cleveland Guardians,14-10,14-9,2,3,T. Bibee,6.0,5,2,5,3,M. Leiter Jr.,0.2,3,1,1,1
2025-04-22,Cincinnati Reds,Miami Marlins,11-13,11-12,3,4,L. Bachar,1.0,1,0,2,0,G. Ashcraft,1.0,3,1,2,1
2025-04-22,San Diego Padres,Detroit Tigers,17-7,14-10,2,0,N. Pivetta,7.0,2,0,6,2,J. Flaherty,6.0,5,2,9,0
2025-04-22,Baltimore Orioles,Washington Nationals,9-13,10-13,0,7,M. Parker,8.0,1,0,4,2,D. Kremer,5.1,11,5,4,0
2025-04-22,Seattle Mariners,Boston Red Sox,12-11,14-11,3,8,B. Bello,5.0,4,1,3,3,B. Miller,4.2,5,4,4,4
2025-04-22,Philadelphia Phillies,New York Mets,13-11,17-7,1,5,G. Canning,5.0,7,1,5,1,C. Sanchez,2.0,4,2,2,2
2025-04-22,St. Louis Cardinals,Atlanta Braves,10-14,9-14,10,4,S. Matz,2.2,1,0,2,1,E. De Los Santos,1.0,2,3,1,2
2025-04-22,Chicago White Sox,Minnesota Twins,5-18,8-15,2,4,B. Ober,6.0,8,1,6,1,D. Martin,5.0,3,0,3,3
2025-04-22,Colorado Rockies,Kansas City Royals,4-18,10-14,3,4,D. Lynch IV,1.0,0,0,1,1,T. Kinley,1.0,1,0,1,2
2025-04-22,Los Angeles Dodgers,Chicago Cubs,16-8,15-10,10,11,P. Hodge,1.0,0,0,1,0,N. Davis,0.0,1,0,0,0
2025-04-22,Toronto Blue Jays,Houston Astros,12-12,12-11,1,5,R. Blanco,6.2,2,1,3,2,C. Bassitt,5.1,7,4,3,1
2025-04-22,Pittsburgh Pirates,Los Angeles Angels,9-15,11-11,9,3,C. Shugart,2.0,0,0,3,0,J. Soriano,3.1,8,5,2,4
2025-04-22,Tampa Bay Rays,Arizona Diamondbacks,9-14,14-9,1,5,B. Pfaadt,6.0,4,1,5,0,Z. Littell,6.0,6,3,2,1
2025-04-22,Milwaukee Brewers,San Francisco Giants,13-11,15-9,11,3,J. Quintana,6.0,6,1,3,2,J. Hicks,5.0,8,5,5,3
2025-04-22,Texas Rangers,Athletics,14-9,10-13,8,5,P. Corbin,5.0,7,2,4,2,O. Bido,5.1,8,8,2,3
2025-04-23,St. Louis Cardinals,Atlanta Braves,10-15,10-14,1,4,D. Hernandez,1.1,1,0,2,0,J. Romero,0.1,2,2,0,0
2025-04-23,Cincinnati Reds,Miami Marlins,12-13,11-13,5,2,B. Singer,6.0,4,2,8,0,S. Alcantara,6.0,5,3,4,2
2025-04-23,New York Yankees,Cleveland Guardians,15-10,14-10,5,1,C. Rodon,7.0,4,0,8,2,L. Ortiz,4.1,5,4,8,5
2025-04-23,Philadelphia Phillies,New York Mets,13-12,18-7,3,4,M. Kranick,0.2,1,0,0,1,J. Romano,0.2,2,1,1,1
2025-04-23,San Diego Padres,Detroit Tigers,17-8,15-10,0,6,R. Olson,7.1,2,0,7,1,K. Hart,4.1,5,2,6,1
2025-04-23,Baltimore Orioles,Washington Nationals,9-14,11-13,3,4,J. Lopez,1.2,1,1,1,0,G. Soto,1.0,1,1,0,1
2025-04-23,Seattle Mariners,Boston Red Sox,13-11,14-12,8,5,E. Hancock,6.0,5,2,7,2,S. Newcomb,5.0,8,4,8,2
2025-04-23,Los Angeles Dodgers,Chicago Cubs,16-9,16-10,6,7,M. Boyd,6.0,10,3,4,1,J. Dreyer,1.0,2,4,0,3
2025-04-23,Chicago White Sox,Minnesota Twins,5-19,9-15,3,6,J. Topa,1.0,1,0,0,0,J. Leasure,1.0,1,1,0,1
2025-04-23,Toronto Blue Jays,Houston Astros,12-13,13-11,1,3,R. Gusto,5.2,3,1,6,1,B. Francis,4.2,8,3,2,1
2025-04-23,Pittsburgh Pirates,Los Angeles Angels,10-15,11-12,3,0,A. Heaney,6.0,1,0,9,0,J. Kochanowicz,6.0,8,2,3,1
2025-04-23,Tampa Bay Rays,Arizona Diamondbacks,10-14,14-10,7,6,P. Fairbanks,0.2,0,0,0,0,D. Jameson,1.0,3,1,0,1
2025-04-23,Milwaukee Brewers,San Francisco Giants,13-12,16-9,2,4,L. Webb,6.1,6,0,6,3,F. Peralta,5.0,5,3,3,2
2025-04-23,Texas Rangers,Athletics,14-10,11-13,2,5,J. Sears,5.0,5,2,5,1,K. Rocker,1.2,7,5,2,1
2025-04-24,Chicago White Sox,Minnesota Twins,6-19,9-16,3,0,S. Smith,5.0,4,0,7,1,C. Paddack,5.0,5,2,5,4
2025-04-24,Seattle Mariners,Boston Red Sox,14-11,14-13,4,3,B. Woo,6.0,3,2,8,1,G. Crochet,5.0,5,4,9,5
2025-04-24,Colorado Rockies,Kansas City Royals,4-19,11-14,4,7,A. Zerpa,2.0,1,0,1,1,G. Marquez,4.0,8,6,3,3
2025-04-24,Milwaukee Brewers,San Francisco Giants,13-13,17-9,5,6,T. Rogers,1.0,1,0,3,0,T. Alexander,0.1,1,2,0,1
2025-04-24,Colorado Rockies,Kansas City Royals,4-20,12-14,2,6,M. Lorenzen,6.0,5,1,7,4,C. Dollander,4.2,7,5,3,2
2025-04-24,Baltimore Orioles,Washington Nationals,10-14,11-14,2,1,C. Povich,6.2,4,1,5,1,M. Gore,6.0,4,2,8,1
