Rk,Team,Date,Unnamed: 3,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,RawDate
216,ATH,2025-05-25,,PHI,"W, 5-4",37,35,5,11,8,1,1,1,5,0,0,2,11,0.314,0.351,0.486,0.837,17,0,0,0,0,0,
217,PHI,2025-05-25,@,ATH,"L, 4-5",35,31,4,7,5,1,0,1,3,0,1,3,6,0.226,0.286,0.355,0.641,11,1,0,0,1,0,
218,PIT,2025-05-25,,MIL,"L, 5-6",42,37,5,12,9,1,1,1,5,1,0,4,11,0.324,0.39,0.486,0.877,18,0,0,1,0,1,
219,SDP,2025-05-25,@,ATL,"W, 5-3",36,36,5,9,4,2,0,3,5,0,0,0,13,0.25,0.25,0.556,0.806,20,0,0,0,0,0,
220,SEA,2025-05-25,@,HOU,"L, 3-5",40,38,3,11,10,1,0,0,3,0,0,1,10,0.289,0.325,0.316,0.641,12,0,1,0,0,0,
221,SFG,2025-05-25,@,WSN,"W, 3-2",35,32,3,5,2,1,1,1,3,1,0,2,4,0.156,0.229,0.344,0.572,11,1,1,0,0,0,
222,STL,2025-05-25,,ARI,"W, 4-3",33,31,4,8,6,1,0,1,4,2,0,1,7,0.258,0.273,0.387,0.66,12,0,0,0,1,0,
223,TBR,2025-05-25,,TOR,"W, 13-0",44,39,13,15,10,3,0,2,13,3,0,4,4,0.385,0.455,0.615,1.07,24,1,1,0,0,0,
224,TEX,2025-05-25,@,CHW,"W, 5-4",37,32,5,7,4,2,0,1,5,0,1,4,7,0.219,0.324,0.375,0.699,12,1,1,0,0,0,
225,TOR,2025-05-25,@,TBR,"L, 0-13",30,29,0,4,4,0,0,0,0,0,0,1,7,0.138,0.167,0.138,0.305,4,1,0,0,0,0,
226,WSN,2025-05-25,,SFG,"L, 2-3",32,32,2,5,1,4,0,0,1,1,0,0,10,0.156,0.156,0.281,0.438,9,0,0,0,0,0,
227,BAL,2025-05-24 (2),@,BOS,"W, 2-1",36,30,2,8,7,1,0,0,2,1,1,6,7,0.267,0.389,0.3,0.689,9,3,0,0,0,0,
228,BOS,2025-05-24 (2),,BAL,"L, 1-2",34,32,1,5,4,0,0,1,1,1,0,1,7,0.156,0.206,0.25,0.456,8,0,1,0,0,0,
229,BAL,2025-05-24 (1),@,BOS,"L, 5-6 (10)",42,36,5,7,4,3,0,0,4,2,0,5,12,0.194,0.31,0.278,0.587,10,1,1,0,0,1,
230,BOS,2025-05-24 (1),,BAL,"W, 6-5 (10)",38,35,6,7,2,2,0,3,5,0,0,3,5,0.2,0.263,0.514,0.777,18,1,0,0,0,0,
231,LAA,2025-05-24,,MIA,"L, 2-6",35,33,2,9,7,2,0,0,2,0,0,1,7,0.273,0.286,0.333,0.619,11,0,0,0,1,0,
232,ARI,2025-05-24,@,STL,"L, 5-6",40,37,5,12,7,3,1,1,5,2,0,1,7,0.324,0.35,0.541,0.891,20,1,1,0,1,0,
233,ATL,2025-05-24,,SDP,"W, 7-1",41,36,7,13,10,1,0,2,7,0,0,3,9,0.361,0.439,0.556,0.995,20,1,2,0,0,0,
234,CHC,2025-05-24,@,CIN,"L, 4-6",38,35,4,11,6,3,0,2,4,1,1,2,5,0.314,0.342,0.571,0.914,20,1,0,0,1,0,
235,CHW,2025-05-24,,TEX,"W, 10-5",48,40,10,13,6,5,0,2,10,1,0,8,6,0.325,0.438,0.6,1.038,24,0,0,0,0,0,
236,CIN,2025-05-24,,CHC,"W, 6-4",37,31,6,9,6,2,0,1,6,1,1,5,10,0.29,0.378,0.452,0.83,14,0,0,0,1,0,
237,CLE,2025-05-24,@,DET,"W, 7-5 (10)",45,41,7,11,7,3,0,1,7,1,0,2,9,0.268,0.311,0.415,0.726,17,0,1,0,1,0,
238,COL,2025-05-24,,NYY,"L, 1-13",33,32,1,8,6,1,1,0,1,0,1,1,10,0.25,0.273,0.344,0.616,11,1,0,0,0,0,
239,DET,2025-05-24,,CLE,"L, 5-7 (10)",40,33,5,5,2,3,0,0,5,0,0,6,10,0.152,0.3,0.242,0.542,8,1,1,0,0,0,
240,MIA,2025-05-24,@,LAA,"W, 6-2",44,36,6,11,10,0,0,1,5,2,0,7,6,0.306,0.419,0.389,0.807,14,2,0,1,0,0,
241,HOU,2025-05-24,,SEA,"W, 2-1",34,33,2,12,12,0,0,0,1,0,0,0,5,0.364,0.382,0.364,0.746,12,3,1,0,0,0,
242,KCR,2025-05-24,@,MIN,"L, 4-5",43,38,4,11,10,1,0,0,4,2,0,4,18,0.289,0.372,0.316,0.688,12,0,1,0,0,0,
243,LAD,2025-05-24,@,NYM,"L, 2-5",32,29,2,5,4,1,0,0,2,1,0,2,10,0.172,0.25,0.207,0.457,6,3,1,0,0,0,
244,MIL,2025-05-24,@,PIT,"L, 1-2",37,35,1,11,10,1,0,0,1,2,2,0,9,0.314,0.351,0.343,0.694,12,1,2,0,0,0,
245,MIN,2025-05-24,,KCR,"W, 5-4",39,34,5,9,7,0,0,2,5,0,0,3,3,0.265,0.359,0.441,0.8,15,1,2,0,0,0,
246,NYM,2025-05-24,,LAD,"W, 5-2",39,32,5,11,9,2,0,0,5,1,1,5,4,0.344,0.462,0.406,0.868,13,1,2,0,0,1,
247,NYY,2025-05-24,@,COL,"W, 13-1",50,43,13,21,13,6,1,1,12,1,0,5,8,0.488,0.52,0.744,1.264,32,4,0,0,2,1,
248,ATH,2025-05-24,,PHI,"L, 6-9 (11)",53,44,6,15,11,3,0,1,5,1,0,9,11,0.341,0.453,0.477,0.93,21,3,0,0,0,3,
249,PHI,2025-05-24,@,ATH,"W, 9-6 (11)",50,42,9,10,5,2,0,3,8,3,0,6,12,0.238,0.34,0.5,0.84,21,1,1,0,1,0,
250,PIT,2025-05-24,,MIL,"W, 2-1",33,32,2,9,6,2,1,0,2,0,0,1,10,0.281,0.303,0.406,0.709,13,1,0,0,0,0,
251,SDP,2025-05-24,@,ATL,"L, 1-7",38,33,1,6,4,2,0,0,1,1,0,4,6,0.182,0.289,0.242,0.532,8,0,1,0,0,0,
252,SEA,2025-05-24,@,HOU,"L, 1-2",36,31,1,5,4,0,1,0,1,2,0,5,11,0.161,0.278,0.226,0.504,7,0,0,0,0,0,
253,SFG,2025-05-24,@,WSN,"L, 0-3",32,30,0,3,3,0,0,0,0,0,0,2,8,0.1,0.156,0.1,0.256,3,1,0,0,0,0,
254,STL,2025-05-24,,ARI,"W, 6-5",35,32,6,8,6,2,0,0,6,0,0,2,8,0.25,0.314,0.313,0.627,10,0,1,0,0,0,
255,TBR,2025-05-24,,TOR,"W, 3-1",29,27,3,3,1,1,0,1,3,0,0,2,4,0.111,0.172,0.259,0.432,7,0,0,0,0,0,
256,TEX,2025-05-24,@,CHW,"L, 5-10",40,35,5,7,5,1,0,1,4,2,0,3,8,0.2,0.275,0.314,0.589,11,0,1,0,1,0,
257,TOR,2025-05-24,@,TBR,"L, 1-3",36,31,1,6,5,0,0,1,1,0,0,5,4,0.194,0.306,0.29,0.596,9,2,0,0,0,0,
